term,subject,course_number,instructor,gpa,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
202508,CS,4104,Wang,2.66,12.5,0,0,46.9,0,0,35.9,0,0,3.1,0,1.6,1
202408,CS,4104,Hoang,3.47,39.4,15.2,22.7,12.1,1.5,4.5,0,3,1.5,0,0,0,0
202408,CS,4104,Hamouda,3.85,79.4,7.4,5.9,4.4,2.9,0,0,0,0,0,0,0,0
202508,CS,4104,Cao,3.48,17.4,34.8,30.4,11.6,2.9,2.9,0,0,0,0,0,0,1
202508,CS,4104,Hoang,3.35,28.2,23.9,12.7,19.7,7,0,7,0,0,0,0,1.4,1
202408,CS,4104,Wenskovitch,3.84,80.3,7,7,1.4,0,4.2,0,0,0,0,0,0,2
202401,CS,4104,Sikora,2.91,16.7,10,16.7,13.3,16.7,10,6.7,5,0,1.7,1.7,1.7,0
202401,CS,4104,Shaffer,3.09,19.7,16.7,16.7,18.2,12.1,7.6,1.5,1.5,0,3,0,3,2
202401,CS,4104,Ji,3.31,19.7,21.1,18.3,21.1,12.7,5.6,1.4,0,0,0,0,0,1
202401,CS,4114,Heath,2.97,7.4,11.8,27.9,23.5,8.8,10.3,2.9,4.4,0,0,0,2.9,0
202408,CS,4124,Heath,2.66,30,0,20,0,10,0,20,0,10,0,0,10,3
202508,CS,4134,Mantri,3.51,43.9,17.1,24.4,0,7.3,2.4,0,2.4,0,2.4,0,0,2
202408,CS,4134,Sikora,2.87,9.5,26.2,9.5,21.4,2.4,9.5,7.1,0,4.8,2.4,7.1,0,5
202508,CS,4164,Zhang,3.95,83.3,16.7,0,0,0,0,0,0,0,0,0,0,0
202508,CS,4164,Zhang,3.91,69.2,30.8,0,0,0,0,0,0,0,0,0,0,0
202401,CS,4164,Zhang,3.59,87.5,0,0,0,0,0,0,0,0,0,12.5,0,1
202408,CS,4204,David-John,3.78,72.2,11.1,11.1,0,0,0,5.6,0,0,0,0,0,0
202408,CS,4234,Feng,3.4,20,30,20,20,0,10,0,0,0,0,0,0,0
202408,CS,4254,Khan,3.63,39.4,33.3,15.2,3,6.1,3,0,0,0,0,0,0,1
202508,CS,4254,Richards,3.93,76.7,23.3,0,0,0,0,0,0,0,0,0,0,0
202401,CS,4264,Chung,3.29,23.1,21.5,16.9,20,6.2,6.2,3.1,1.5,1.5,0,0,0,1
202408,CS,4264,Hicks,3.45,34.5,21.8,9.1,20,9.1,3.6,1.8,0,0,0,0,0,1
202508,CS,4264,Hicks,3.23,23.7,7.9,19.7,32.9,5.3,2.6,6.6,0,1.3,0,0,0,1
202408,CS,4274,Kulak,3.29,37.5,25,0,0,0,37.5,0,0,0,0,0,0,0
202401,CS,4274,Viswanath,3.59,30.6,30.6,27.8,8.3,2.8,0,0,0,0,0,0,0,0
202401,CS,4284,Back,3.81,79.4,11.8,5.9,0,0,0,0,0,0,0,0,2.9,1
202508,CS,4304,Sundararajah,3.71,55.6,22.2,0,22.2,0,0,0,0,0,0,0,0,1
202401,CS,4414,Onufriev,3.61,46.7,33.3,0,6.7,6.7,3.3,0,3.3,0,0,0,0,0
202408,CS,4604,Nizamani,3.95,89.4,7.7,1.9,1,0,0,0,0,0,0,0,0,0
202401,CS,4604,Hamouda,3.96,94.8,2.1,1,1,1,0,0,0,0,0,0,0,0
202401,CS,4604,Khan,3.91,80.2,12.5,5.2,2.1,0,0,0,0,0,0,0,0,0
202508,CS,4604,Hamouda,3.92,88.4,8.1,1.2,0,0,1.2,1.2,0,0,0,0,0,1
202508,CS,4604,Hamouda,3.96,90,7.5,2.5,0,0,0,0,0,0,0,0,0,0
202401,CS,4624,Farag,3.82,68.7,14.5,12,3.6,1.2,0,0,0,0,0,0,0,0
202408,CS,4624,Farag,3.76,65.9,17.1,7.3,4.9,2.4,0,0,2.4,0,0,0,0,1
202508,CS,4624,Hamouda,4,100,0,0,0,0,0,0,0,0,0,0,0,0
202508,CS,4624,Byalik,3.8,65.1,20.9,7,2.3,4.7,0,0,0,0,0,0,0,0
202508,CS,4624,Charles,3.61,81,0,0,0,2.4,0,11.9,2.4,2.4,0,0,0,0
202508,CS,4624,Yanardag Delul,3.97,97.1,0,0,2.9,0,0,0,0,0,0,0,0,0
202508,CS,4624,McCrickard,3.9,76.7,20,0,0,3.3,0,0,0,0,0,0,0,0
202508,CS,4624,Feng,3.8,72.4,13.8,6.9,0,3.4,0,3.4,0,0,0,0,0,0
202401,CS,4644,Lee,3.83,64.1,25.6,7.7,0,0,2.6,0,0,0,0,0,0,0
202408,CS,4664,Kulak,3.64,50,37.5,0,0,0,0,12.5,0,0,0,0,0,0
202401,CS,4664,Eldardiry,3.79,69.6,17.4,4.3,0,4.3,4.3,0,0,0,0,0,0,0
202408,CS,4804,Chen,3.22,28.6,11.4,15.7,15.7,15.7,4.3,4.3,0,2.9,1.4,0,0,1
202401,CS,4804,Wenskovitch,3.54,50.6,18.5,7.4,11.1,3.7,1.2,6.2,0,0,0,0,1.2,2
202508,CS,4804,Vu,3.79,80.6,1.5,9,4.5,0,0,3,0,1.5,0,0,0,1
202408,CS,4824,Bhattacharya,3.41,67.4,0,0,15.2,0,0,10.9,0,0,4.3,0,2.2,3
202408,CS,4824,Jin,3.34,28,24,20,8,0,16,0,4,0,0,0,0,1
202401,CS,4824,Cui,3.8,82.9,0,0,14.6,0,0,2.4,0,0,0,0,0,0
202401,CS,4824,Zhou,3.78,72.7,9.1,0,13.6,4.5,0,0,0,0,0,0,0,1
202508,CS,4824,Zhou,3.69,33.8,46.2,12.3,6.2,1.5,0,0,0,0,0,0,0,4
202508,CS,4824,Jin,3.63,77.1,8.3,4.2,2.1,0,0,0,0,0,4.2,0,4.2,1
202401,CS,4894,McMahan,2.99,39,4.9,9.8,7.3,14.6,4.9,7.3,0,2.4,2.4,0,7.3,2
202401,CS,4894,Thomas,2.86,30,0,25,20,5,0,5,0,0,0,0,15,7
